Ref.;Type;Manufacturer;Component Number;Link;Description;Unit Price;Qty;Total Price
J8;FMC Adapter;SAMTEC;ASP-134488;https://www.mouser.de/ProductDetail/Samtec/ASP-134488-01?qs=jyzYFa4oMQiB2Frr%252B13AUg%3D%3D&srsltid=AfmBOoo792CtpsI4uTO0p0rJS6KIzPsG5JLUVx4HC6-nr5JWWiJJqSUo;"Connector between the FPGA J5 FMC adapter and the breakout board for Data Line D0";"32.11 €";1;"32.11 €"
IC1-IC6;Dual-Supply Bus Transceiver;Texas Instruments;SN74AVC8T245PWG4;https://www.mouser.de/ProductDetail/Texas-Instruments/SN74AVC8T245DGVR?qs=gb35HGp1gQKfn8EiNhWVDw%3D%3D&utm_id=22433149151&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=22426713531&gbraid=0AAAAADn_wf2v6HF-ZY8tOiOJKdQokR3jx&gclid=CjwKCAjwr8LHBhBKEiwAy47uUpb1I-BOhLAEzCKLzTl51an-He8yvClKNKQO0MhXU8aWxK4PdAUGhxoCJ1oQAvD_BwE;"Logic Level shifting using two reference power rails.";"1.11 €";6;"6.66 €"
C1-C12;Capacitors;KEMET;C0805C104K5RAC7411;https://www.mouser.de/ProductDetail/KEMET/C0805C104K5RAC7411?qs=jbRM9o5BbzPcVXF0wW9AYg%3D%3D&srsltid=AfmBOoqbXrd7AuNfIgK5jKXZwsY7rqbzbd21eSQxviDN7WFSmlSzqOMi;"0.1 µF, 50 V DC, decoupling capacitors for bus transceivers (VCCA/VCCB inputs)";"0.10 €";12;"1.20 €"
"P1, P2";Pin Headers 2×32;MPE;087-2-064-0-S-XS0-1260;https://www.reichelt.de/de/de/shop/produkt/stiftleisten_2_54_mm_2x32_gerade-119901;"2×32 straight pin headers, 2.54 mm pitch, for connecting the memory module";"1.10 €";2;"2.20 €"
J7;Pin Headers Power Supply;Würth Elektronik;61300621121;https://www.mouser.de/ProductDetail/Wurth-Elektronik/61300621121?qs=PhR8RmCirEb94hrEcn0AQg%3D%3D&srsltid=AfmBOopIO_ZzGL5PN2e8KFJ_s5zXGIAhTypGa-pSeCyL_8d_Pqrpcy3e;"2×3 straight pin headers, 2.54 mm pitch, to access the power supply connector";"0.32 €";1;"0.32 €"
J11;Pin Headers Ground Selectors;Würth Elektronik;61031421121;https://www.mouser.de/ProductDetail/Wurth-Elektronik/61031421121?qs=PhR8RmCirEZZbVT40l1VFg%3D%3D&srsltid=AfmBOorfphf0BZ7afI9HM7oC0Nn2ls3qwzfw-a9tYhcThdrmQISPRXYa;"2×7 straight pin headers, 2.54 mm pitch, to access ground connections";"0.81 €";1;"1.62 €"
J5;Pin Headers External Ground;Amphenol Commercial Products;61300411121;https://www.mouser.de/ProductDetail/Wurth-Elektronik/61300411121?qs=PhR8RmCirEYQcLLqXD8rAA%3D%3D&srsltid=AfmBOoqbmvtAAREkFR7i5C3SI06dQ7ZhGs6RGjJaSOjuS2pcTQRLJ34x;"1×4 straight pin headers, 2.54 mm pitch, for external ground connectors";"0.15 €";1;"0.15 €"
J1-J4;Pin Headers Ground Selectors;Amphenol Commercial Products;G800NA306018EU;https://www.mouser.de/ProductDetail/Amphenol-Commercial-Products/G800NA306018EU?qs=PzGy0jfpSMu%252BgjY9IP4mxg%3D%3D&srsltid=AfmBOoqnkO-dE7s_8SiTcq1mxgac4FXBE5JoTNwEksDaus7LEygtVw5B;"1×2 straight pin headers, 2.54 mm pitch, for single ground connectors";"0.09 €";4;"0.36 €"
J9;Debug Pin Header;Würth Elektronik;61300311121;https://www.mouser.de/ProductDetail/Wurth-Elektronik/61300311121?qs=PhR8RmCirEYxRWFJzNKsUw%3D%3D&srsltid=AfmBOoqC74OIyZTe4NitQWZsTA-bge7yVEk0LM4fQfXsV5v-SsJjDBEN;"1×3 straight pin headers, 2.54 mm pitch, for debug pins";"0.10 €";1;"0.10 €"
-;Voltage/Ground Selectors;MPE;149-1-002-F0-XS;https://www.reichelt.de/de/de/shop/produkt/jumper_2_54_mm_geoeffnet_schwarz-119941;"2.54 mm jumper used to disconnect or select ground and voltage lines";"0.10 €";14;"1.40 €"
J6;Extension Board Socket;Amphenol;10018783-10010TLF;https://www.mouser.de/ProductDetail/Amphenol-FCI/10018783-10010TLF?qs=V%252BXmToedwogAuXkqek6neg%3D%3D&srsltid=AfmBOoqk58PaS84PRHbS8nwMz4xoqxJG-J4E-5V4-yMy0Ao3CDFHsqgy;"PCIe connector (36 positions, 1.00 mm pitch) for extension cards supporting board detection and voltage rail PMBus interface";"0.70 €";11;"7.70 €"
J6;Extension Board Socket;Amphenol;10018783-10010TLF;https://www.mouser.de/ProductDetail/Amphenol-FCI/10018783-10010TLF?qs=V%252BXmToedwogAuXkqek6neg%3D%3D&srsltid=AfmBOoqk58PaS84PRHbS8nwMz4xoqxJG-J4E-5V4-yMy0Ao3CDFHsqgy;"PCIe connector (36 positions, 1.00 mm pitch) for extension cards supporting board detection and voltage rail PMBus interface";"0.70 €";11;"7.70 €"
H1, H2; Screws M3 Thread; APM HEXSEAL; RM3X8MM-2701; https://www.mouser.de/ProductDetail/APM-HEXSEAL/RM3X8MM-2701?qs=sGAEpiMZZMug9GoBKXZ75zlIbrSJDhCwDpiunxUU3en5GpTBna43NA%3D%3D; "Screws M3 x 0.5 THD to connect the mechanical support"; 0.45 €; 2; 0.90 €
H1, H2; Distance Spacers M3; ECON; D3X08I5MT; https://www.reichelt.de/de/de/shop/produkt/abstandsbolzen_messing_m3_8_mm_innen_innen-405437?PROVID=2788&gad_source=1&gad_campaignid=183379230&gbraid=0AAAAADwnxtaFchh-cI_QUHG-_ylzNrHgY&gclid=CjwKCAjwr8LHBhBKEiwAy47uUhhes83LcS5moYq732JGQRU82GjfbTLAooFfR6X1Sntx3wJH6WA-thoC7cwQAvD_BwE; "Distance Spacers M3 8mm to connect the mechanical support"; 0.11 €; 2; 0.22 €



https://www.reichelt.de/de/de/shop/produkt/abstandsbolzen_messing_m3_8_mm_innen_innen-405437?PROVID=2788&gad_source=1&gad_campaignid=183379230&gbraid=0AAAAADwnxtaFchh-cI_QUHG-_ylzNrHgY&gclid=CjwKCAjwr8LHBhBKEiwAy47uUhhes83LcS5moYq732JGQRU82GjfbTLAooFfR6X1Sntx3wJH6WA-thoC7cwQAvD_BwE